"","Tendency+1","Tendency+3","Tendency+7","Tendency+14","Tendency+30"
"ADX.SucessRate",0.49,0.49,0.48,0.48,0.48
"ADX.NumberOfSignals",1091,1125,1099,1123,1130
"ADX.MainPeriod",15,5,4,23,3
"ADX.TrendBorder",28,32,34,15,36
"ForceIndex.SucessRate",0.53,0.57,0.53,0.58,0.66
"ForceIndex.NumberOfSignals",129,136,133,133,170
"ForceIndex.PeriodFI",15,16,14,14,19
"ForceIndex.PeriodEMA",12,13,10,10,12
"ROC.SucessRate",0.52,0.53,0.53,0.49,0.5
"ROC.NumberOfSignals",268,853,739,757,800
"ROC.PeriodROC",9,9,6,11,3
"ROC.Percentage",20,1,2,2,1
"ROC.PeriodSMA",10,2,2,2,2
"ROC.PeriodClose",5,2,2,2,2
"AROON.SucessRate",0.54,0.55,0.55,0.5,0.48
"AROON.NumberOfSignals",140,234,201,605,605
"AROON.Period",30,30,27,2,2
"AROON.HighValue",85,85,90,95,95
"AROON.LowValue",5,15,15,5,5
"StochRSI.SucessRate",0.55,0.59,0.58,0.62,0.61
"StochRSI.NumberOfSignals",469,478,496,353,464
"StochRSI.PeriodRSI",19,19,8,5,19
"StochRSI.HighSMA",4,4,4,4,4
"StochRSI.LowSMA",2,2,2,2,2
"StochRSI.BottomValue",0.4,0.4,0.6,0.05,0.5
"StochRSI.CeilingValue",0.6,0.6,0.4,0.95,0.5
"StochRSI.UptrendValue",0.69,0.75,0.65,0.1,0.64
"StochRSI.DowntrendValue",0.31,0.25,0.35,0.9,0.36
"ADL.SucessRate",0.52,0.52,0.54,0.53,0.53
"ADL.NumberOfSignals",537,645,408,642,606
"ADL.PeriodADL",8,9,22,8,23
"ADL.MultiplierReversalValue",0.05,0.7,0.75,0.65,0.95
"ADL.MultiplierContValue",0.45,0.1,0.6,0.1,0.15
"ADL.VolumeRelChangeValue",0.65,0.18,1.3,1,0.5
"TRIX.SucessRate",0.52,0.55,0.57,0.51,0.5
"TRIX.NumberOfSignals",518,518,355,355,559
"TRIX.PeriodTRIX",4,4,1,1,12
"TRIX.PeriodSignalLine",4,4,10,10,6
"SAR.SucessRate",0.51,0.52,0.49,0.47,0.47
"SAR.NumberOfSignals",1166,1166,1166,1166,1166
"SAR.StartAF",0.01,0.01,0.03,0.02,0.02
"SAR.IncreaseAF",0.02,0.01,0.01,0.03,0.03
"SAR.MaxAF",0.3,0.12,0.2,0.3,0.35
"BBands.SucessRate",0.5,0.49,0.5,0.53,0.54
"BBands.NumberOfSignals",682,732,682,626,631
"BBands.Period",11,2,11,57,51
