"Accuracy","Tendency","Algorithm"
0.541666666666667,"+01days","Mean of two best algotithms"
0.5625,"+01days","Two-Class Boosted Decision Tree"
0.520833333333333,"+01days","Two-Class Locally-Deep Support Vector Machine"
0.5,"+01days","Two-Class Neural Network"
0.4375,"+01days","Two-Class Averaged Perceptron"
0.416666666666667,"+01days","Two-Class Decision Forest"
0.416666666666667,"+01days","Two-Class Support Vector Machine"
0.59375,"+03days","Mean of two best algotithms"
0.604166666666667,"+03days","Two-Class Boosted Decision Tree"
0.583333333333333,"+03days","Two-Class Decision Forest"
0.583333333333333,"+03days","Two-Class Support Vector Machine"
0.520833333333333,"+03days","Two-Class Averaged Perceptron"
0.520833333333333,"+03days","Two-Class Neural Network"
0.5,"+03days","Two-Class Locally-Deep Support Vector Machine"
0.697916666666667,"+07days","Mean of two best algotithms"
0.708333333333333,"+07days","Two-Class Averaged Perceptron"
0.6875,"+07days","Two-Class Neural Network"
0.666666666666667,"+07days","Two-Class Decision Forest"
0.645833333333333,"+07days","Two-Class Locally-Deep Support Vector Machine"
0.625,"+07days","Two-Class Boosted Decision Tree"
0.604166666666667,"+07days","Two-Class Support Vector Machine"
0.854166666666667,"+14days","Mean of two best algotithms"
0.875,"+14days","Two-Class Support Vector Machine"
0.833333333333333,"+14days","Two-Class Averaged Perceptron"
0.791666666666667,"+14days","Two-Class Neural Network"
0.770833333333333,"+14days","Two-Class Boosted Decision Tree"
0.770833333333333,"+14days","Two-Class Locally-Deep Support Vector Machine"
0.75,"+14days","Two-Class Decision Forest"
0.802083333333333,"+30days","Mean of two best algotithms"
0.8125,"+30days","Two-Class Boosted Decision Tree"
0.791666666666667,"+30days","Two-Class Locally-Deep Support Vector Machine"
0.770833333333333,"+30days","Two-Class Decision Forest"
0.729166666666667,"+30days","Two-Class Support Vector Machine"
0.145833333333333,"+30days","Two-Class Averaged Perceptron"
0.145833333333333,"+30days","Two-Class Neural Network"
