"Accuracy","Tendency","Algorithm"
0.520833333333333,"+01days","Mean of two best algotithms"
0.520833333333333,"+01days","Two-Class Boosted Decision Tree"
0.520833333333333,"+01days","Two-Class Locally-Deep Support Vector Machine"
0.4375,"+01days","Two-Class Decision Forest"
0.395833333333333,"+01days","Two-Class Neural Network"
0.375,"+01days","Two-Class Support Vector Machine"
0.354166666666667,"+01days","Two-Class Averaged Perceptron"
0.6875,"+03days","Mean of two best algotithms"
0.6875,"+03days","Two-Class Boosted Decision Tree"
0.6875,"+03days","Two-Class Locally-Deep Support Vector Machine"
0.5625,"+03days","Two-Class Decision Forest"
0.520833333333333,"+03days","Two-Class Neural Network"
0.458333333333333,"+03days","Two-Class Support Vector Machine"
0.4375,"+03days","Two-Class Averaged Perceptron"
0.552083333333333,"+07days","Mean of two best algotithms"
0.5625,"+07days","Two-Class Locally-Deep Support Vector Machine"
0.541666666666667,"+07days","Two-Class Boosted Decision Tree"
0.541666666666667,"+07days","Two-Class Averaged Perceptron"
0.541666666666667,"+07days","Two-Class Decision Forest"
0.520833333333333,"+07days","Two-Class Neural Network"
0.5,"+07days","Two-Class Support Vector Machine"
0.625,"+14days","Mean of two best algotithms"
0.625,"+14days","Two-Class Neural Network"
0.625,"+14days","Two-Class Support Vector Machine"
0.604166666666667,"+14days","Two-Class Averaged Perceptron"
0.5625,"+14days","Two-Class Locally-Deep Support Vector Machine"
0.541666666666667,"+14days","Two-Class Decision Forest"
0.416666666666667,"+14days","Two-Class Boosted Decision Tree"
0.770833333333333,"+30days","Mean of two best algotithms"
0.8125,"+30days","Two-Class Locally-Deep Support Vector Machine"
0.729166666666667,"+30days","Two-Class Boosted Decision Tree"
0.729166666666667,"+30days","Two-Class Averaged Perceptron"
0.6875,"+30days","Two-Class Decision Forest"
0.666666666666667,"+30days","Two-Class Neural Network"
0.625,"+30days","Two-Class Support Vector Machine"
