"BestAccuracy","NumberOfYears","Tendency"
0.5625,"01 years","+01days"
0.548387096774194,"02 years","+01days"
0.545,"03 years","+01days"
0.585454545454545,"04 years","+01days"
0.562857142857143,"05 years","+01days"
0.539835164835165,"10 years","+01days"
0.604166666666667,"01 years","+03days"
0.612903225806452,"02 years","+03days"
0.585,"03 years","+03days"
0.596363636363636,"04 years","+03days"
0.574285714285714,"05 years","+03days"
0.527472527472527,"10 years","+03days"
0.708333333333333,"01 years","+07days"
0.620967741935484,"02 years","+07days"
0.575,"03 years","+07days"
0.592727272727273,"04 years","+07days"
0.565714285714286,"05 years","+07days"
0.550824175824176,"10 years","+07days"
0.875,"01 years","+14days"
0.709677419354839,"02 years","+14days"
0.62,"03 years","+14days"
0.585454545454545,"04 years","+14days"
0.605714285714286,"05 years","+14days"
0.554945054945055,"10 years","+14days"
0.8125,"01 years","+30days"
0.717741935483871,"02 years","+30days"
0.665,"03 years","+30days"
0.654545454545455,"04 years","+30days"
0.66,"05 years","+30days"
0.570054945054945,"10 years","+30days"
