"BestAccuracy","NumberOfYears","Tendency"
0.520833333333333,"01 years","+01days"
0.508064516129032,"02 years","+01days"
0.535,"03 years","+01days"
0.570909090909091,"04 years","+01days"
0.582857142857143,"05 years","+01days"
0.519230769230769,"10 years","+01days"
0.6875,"01 years","+03days"
0.612903225806452,"02 years","+03days"
0.555,"03 years","+03days"
0.549090909090909,"04 years","+03days"
0.568571428571429,"05 years","+03days"
0.53021978021978,"10 years","+03days"
0.5625,"01 years","+07days"
0.629032258064516,"02 years","+07days"
0.605,"03 years","+07days"
0.578181818181818,"04 years","+07days"
0.568571428571429,"05 years","+07days"
0.597527472527473,"10 years","+07days"
0.625,"01 years","+14days"
0.653225806451613,"02 years","+14days"
0.64,"03 years","+14days"
0.610909090909091,"04 years","+14days"
0.625714285714286,"05 years","+14days"
0.59478021978022,"10 years","+14days"
0.8125,"01 years","+30days"
0.75,"02 years","+30days"
0.74,"03 years","+30days"
0.676363636363636,"04 years","+30days"
0.654285714285714,"05 years","+30days"
0.618131868131868,"10 years","+30days"
