"Accuracy","Tendency","Algorithm"
0.8125,"+01days","Mean of two best algotithms"
0.833333333333333,"+01days","Two-Class Decision Forest"
0.791666666666667,"+01days","Two-Class Boosted Decision Tree"
0.791666666666667,"+01days","Two-Class Neural Network"
0.75,"+01days","Two-Class Averaged Perceptron"
0.75,"+01days","Two-Class Support Vector Machine"
0.708333333333333,"+01days","Two-Class Locally-Deep Support Vector Machine"
0.666666666666667,"+03days","Mean of two best algotithms"
0.6875,"+03days","Two-Class Support Vector Machine"
0.645833333333333,"+03days","Two-Class Averaged Perceptron"
0.645833333333333,"+03days","Two-Class Decision Forest"
0.625,"+03days","Two-Class Neural Network"
0.625,"+03days","Two-Class Locally-Deep Support Vector Machine"
0.583333333333333,"+03days","Two-Class Boosted Decision Tree"
0.739583333333333,"+07days","Mean of two best algotithms"
0.75,"+07days","Two-Class Support Vector Machine"
0.729166666666667,"+07days","Two-Class Boosted Decision Tree"
0.708333333333333,"+07days","Two-Class Decision Forest"
0.6875,"+07days","Two-Class Averaged Perceptron"
0.6875,"+07days","Two-Class Neural Network"
0.604166666666667,"+07days","Two-Class Locally-Deep Support Vector Machine"
0.607829670329671,"+14days","Mean of two best algotithms"
0.60989010989011,"+14days","Two-Class Support Vector Machine"
0.605769230769231,"+14days","Two-Class Averaged Perceptron"
0.596153846153846,"+14days","Two-Class Neural Network"
0.581043956043956,"+14days","Two-Class Decision Forest"
0.574175824175824,"+14days","Two-Class Locally-Deep Support Vector Machine"
0.559065934065934,"+14days","Two-Class Boosted Decision Tree"
0.8125,"+30days","Mean of two best algotithms"
0.833333333333333,"+30days","Two-Class Decision Forest"
0.791666666666667,"+30days","Two-Class Boosted Decision Tree"
0.791666666666667,"+30days","Two-Class Neural Network"
0.75,"+30days","Two-Class Averaged Perceptron"
0.75,"+30days","Two-Class Support Vector Machine"
0.729166666666667,"+30days","Two-Class Locally-Deep Support Vector Machine"
